,日期,星期,最高温度,最低温度,天气,风向
36,2023-02-06, 星期一 ,22℃,15℃,雾,北风 2级
37,2023-02-07, 星期二 ,25℃,15℃,雾,北风 2级
38,2023-02-08, 星期三 ,21℃,16℃,小雨,西风 2级
39,2023-02-09, 星期四 ,25℃,16℃,小雨,西北风 2级
40,2023-02-10, 星期五 ,20℃,16℃,多云,西北风 2级
41,2023-02-11, 星期六 ,24℃,18℃,多云,西风 1级
42,2023-02-12, 星期日 ,26℃,18℃,多云,东南风 2级
43,2023-02-13, 星期一 ,27℃,10℃,多云,东北风 4级
44,2023-02-14, 星期二 ,15℃,7℃,多云,东北风 4级
45,2023-02-15, 星期三 ,15℃,6℃,晴,西北风 2级
46,2023-02-16, 星期四 ,18℃,7℃,晴,东北风 1级
47,2023-02-17, 星期五 ,22℃,13℃,多云,西北风 2级
48,2023-02-18, 星期六 ,26℃,15℃,多云,东北风 1级
49,2023-02-19, 星期日 ,24℃,12℃,多云,南风 3级
50,2023-02-20, 星期一 ,22℃,12℃,多云,东北风 3级
51,2023-02-21, 星期二 ,22℃,8℃,晴,西北风 2级
52,2023-02-22, 星期三 ,22℃,10℃,晴,北风 2级
53,2023-02-23, 星期四 ,23℃,11℃,晴,北风 1级
54,2023-02-24, 星期五 ,21℃,10℃,晴,北风 3级
55,2023-02-25, 星期六 ,13℃,9℃,多云,北风 2级
56,2023-02-26, 星期日 ,19℃,8℃,多云,北风 2级
57,2023-02-27, 星期一 ,21℃,8℃,晴,南风 2级
58,2023-02-28, 星期二 ,22℃,11℃,晴,南风 2级
59,2023-03-01, 星期三 ,25℃,12℃,晴,东北风 2级
60,2023-03-02, 星期四 ,24℃,12℃,晴,南风 1级
61,2023-03-03, 星期五 ,25℃,13℃,雾~多云,东风 1级
62,2023-03-04, 星期六 ,24℃,12℃,多云~晴,西风 1级
63,2023-03-05, 星期日 ,25℃,10℃,多云~晴,南风 2级
64,2023-03-06, 星期一 ,25℃,10℃,晴,南风 2级
65,2023-03-07, 星期二 ,25℃,12℃,晴,南风 2级
66,2023-03-08, 星期三 ,26℃,15℃,晴,南风 2级
67,2023-03-09, 星期四 ,28℃,15℃,晴~多云,南风 1级
68,2023-03-10, 星期五 ,29℃,14℃,雾~多云,南风 1级
69,2023-03-11, 星期六 ,28℃,16℃,晴~多云,南风 2级
70,2023-03-12, 星期日 ,22℃,14℃,多云~阴,东北风 3级
71,2023-03-13, 星期一 ,20℃,11℃,多云,东北风 1级
72,2023-03-14, 星期二 ,25℃,14℃,多云~晴,南风 1级
73,2023-03-15, 星期三 ,25℃,15℃,多云,南风 2级
74,2023-03-16, 星期四 ,29℃,14℃,雾~晴,南风 2级
75,2023-03-17, 星期五 ,26℃,16℃,多云,南风 0级
76,2023-03-18, 星期六 ,28℃,17℃,多云,南风 2级
77,2023-03-19, 星期日 ,25℃,19℃,多云~阴,南风 2级
78,2023-03-20, 星期一 ,25℃,20℃,多云,西南风 2级
79,2023-03-21, 星期二 ,23℃,22℃,多云~阴,南风 2级
80,2023-03-22, 星期三 ,26℃,21℃,多云~阴,西南风 2级
81,2023-03-23, 星期四 ,28℃,21℃,多云~阵雨,南风 1级
82,2023-03-24, 星期五 ,20℃,15℃,暴雨~雷阵雨,北风 1级
83,2023-03-25, 星期六 ,20℃,14℃,暴雨~大雨,北风 1级
84,2023-03-26, 星期日 ,17℃,12℃,中雨~阵雨,北风 2级
85,2023-03-27, 星期一 ,19℃,12℃,阵雨~阴,北风 2级
86,2023-03-28, 星期二 ,16℃,14℃,中雨~阵雨,北风 1级
87,2023-03-29, 星期三 ,17℃,15℃,小雨~中雨,西北风 1级
88,2023-03-30, 星期四 ,18℃,16℃,小雨~阵雨,北风 1级
89,2023-03-31, 星期五 ,18℃,17℃,雾~阵雨,北风 1级
90,2023-04-01, 星期六 ,22℃,18℃,多云~阵雨,东北风 0级
91,2023-04-02, 星期日 ,23℃,18℃,小雨~阴,东北风 1级
92,2023-04-03, 星期一 ,24℃,21℃,多云~阵雨,南风 2级
93,2023-04-04, 星期二 ,25℃,22℃,多云~大雨,东南风 2级
94,2023-04-05, 星期三 ,23℃,18℃,暴雨~大雨,北风 0级
95,2023-04-06, 星期四 ,27℃,14℃,大雨~阵雨,北风 2级
96,2023-04-07, 星期五 ,23℃,13℃,多云,北风 2级
97,2023-04-08, 星期六 ,18℃,15℃,多云,东北风 1级
98,2023-04-09, 星期日 ,23℃,16℃,多云,南风 1级
99,2023-04-10, 星期一 ,24℃,19℃,多云~阴,南风 2级
100,2023-04-11, 星期二 ,26℃,19℃,多云~阴,南风 2级
101,2023-04-12, 星期三 ,29℃,20℃,多云~阴,南风 2级
102,2023-04-13, 星期四 ,28℃,21℃,多云,西南风 2级
103,2023-04-14, 星期五 ,27℃,20℃,多云~雷阵雨,西南风 1级
104,2023-04-15, 星期六 ,28℃,20℃,多云,北风 2级
105,2023-04-16, 星期日 ,33℃,20℃,晴~多云,南风 2级
106,2023-04-17, 星期一 ,31℃,21℃,多云,南风 2级
107,2023-04-18, 星期二 ,30℃,24℃,多云~中雨,南风 2级
108,2023-04-19, 星期三 ,25℃,22℃,中雨,北风 1级
109,2023-04-20, 星期四 ,32℃,22℃,雾~多云,东风 1级
110,2023-04-21, 星期五 ,26℃,22℃,多云~阵雨,南风 2级
111,2023-04-22, 星期六 ,28℃,22℃,多云~阴,南风 2级
112,2023-04-23, 星期日 ,26℃,21℃,小雨~阴,东南风 1级
113,2023-04-24, 星期一 ,23℃,18℃,中雨~阵雨,北风 2级
114,2023-04-25, 星期二 ,18℃,16℃,多云~阴,北风 2级
115,2023-04-26, 星期三 ,21℃,17℃,多云,东北风 1级
116,2023-04-27, 星期四 ,27℃,19℃,多云,南风 2级
117,2023-04-28, 星期五 ,28℃,22℃,多云,南风 2级
118,2023-04-29, 星期六 ,25℃,17℃,中雨~多云,北风 4级
119,2023-04-30, 星期日 ,25℃,17℃,多云,北风 2级
120,2023-05-01, 星期一 ,28℃,18℃,多云,南风 2级
121,2023-05-02, 星期二 ,29℃,20℃,多云,南风 2级
122,2023-05-03, 星期三 ,30℃,23℃,多云,东南风 1级
123,2023-05-04, 星期四 ,33℃,24℃,多云,南风 2级
124,2023-05-05, 星期五 ,30℃,24℃,多云,南风 2级
125,2023-05-06, 星期六 ,29℃,22℃,多云~大雨,南风 2级
126,2023-05-07, 星期日 ,24℃,20℃,大雨~阵雨,北风 3级
127,2023-05-08, 星期一 ,23℃,20℃,多云~阴,东北风 2级
128,2023-05-09, 星期二 ,26℃,20℃,多云,南风 1级
129,2023-05-10, 星期三 ,27℃,20℃,多云~阴,南风 2级
130,2023-05-11, 星期四 ,23℃,20℃,中雨~阵雨,北风 1级
131,2023-05-12, 星期五 ,22℃,19℃,小雨~阵雨,东北风 1级
132,2023-05-13, 星期六 ,26℃,20℃,多云~阵雨,南风 1级
133,2023-05-14, 星期日 ,25℃,19℃,雾~多云,南风 1级
134,2023-05-15, 星期一 ,31℃,20℃,多云,南风 2级
135,2023-05-16, 星期二 ,29℃,22℃,多云~阵雨,东南风 2级
136,2023-05-17, 星期三 ,30℃,24℃,小雨~雷阵雨,南风 1级
137,2023-05-18, 星期四 ,34℃,24℃,多云~阵雨,北风 1级
138,2023-05-19, 星期五 ,33℃,24℃,多云~阵雨,南风 2级
139,2023-05-20, 星期六 ,33℃,25℃,多云,南风 1级
140,2023-05-21, 星期日 ,33℃,25℃,多云,南风 2级
141,2023-05-22, 星期一 ,33℃,20℃,阴~阵雨,北风 2级
142,2023-05-23, 星期二 ,25℃,22℃,小雨~阵雨,东南风 1级
143,2023-05-24, 星期三 ,27℃,23℃,小雨~阴,南风 1级
144,2023-05-25, 星期四 ,33℃,24℃,多云,南风 1级
145,2023-05-26, 星期五 ,34℃,25℃,多云,南风 2级
146,2023-05-27, 星期六 ,34℃,25℃,多云,南风 2级
147,2023-05-28, 星期日 ,35℃,24℃,多云,南风 2级
148,2023-05-29, 星期一 ,36℃,25℃,雾~晴,西北风 1级
149,2023-05-30, 星期二 ,38℃,27℃,晴,北风 1级
150,2023-05-31, 星期三 ,36℃,26℃,多云,东北风 1级
151,2023-06-01, 星期四 ,36℃,26℃,多云~晴,东北风 0级
152,2023-06-02, 星期五 ,36℃,25℃,多云,西南风 1级
153,2023-06-03, 星期六 ,35℃,25℃,小雨~多云,南风 2级
154,2023-06-04, 星期日 ,32℃,26℃,中雨~多云,东南风 1级
155,2023-06-05, 星期一 ,35℃,24℃,多云,南风 1级
156,2023-06-06, 星期二 ,34℃,24℃,雷阵雨~中雨,东南风 1级
157,2023-06-07, 星期三 ,32℃,25℃,小雨~多云,东南风 1级
158,2023-06-08, 星期四 ,33℃,25℃,多云,东南风 1级
159,2023-06-09, 星期五 ,33℃,24℃,雷阵雨,南风 2级
160,2023-06-10, 星期六 ,32℃,24℃,小雨~阵雨,东北风 3级
161,2023-06-11, 星期日 ,33℃,25℃,多云,东南风 1级
162,2023-06-12, 星期一 ,35℃,24℃,多云,南风 1级
163,2023-06-13, 星期二 ,33℃,25℃,多云~大雨,西北风 1级
164,2023-06-14, 星期三 ,30℃,24℃,大雨~阵雨,东北风 1级
165,2023-06-15, 星期四 ,28℃,25℃,小雨~阴,东北风 1级
166,2023-06-16, 星期五 ,28℃,25℃,小雨~中雨,南风 1级
167,2023-06-17, 星期六 ,30℃,25℃,小雨~中雨,南风 1级
168,2023-06-18, 星期日 ,30℃,25℃,大雨~雷阵雨,南风 2级
169,2023-06-19, 星期一 ,31℃,25℃,中雨~多云,南风 2级
170,2023-06-20, 星期二 ,33℃,25℃,多云,南风 3级
171,2023-06-21, 星期三 ,34℃,26℃,多云,东风 2级
172,2023-06-22, 星期四 ,34℃,24℃,多云~阵雨,东南风 3级
173,2023-06-23, 星期五 ,28℃,25℃,大雨,南风 1级
174,2023-06-24, 星期六 ,30℃,24℃,小雨~雷阵雨,西风 2级
175,2023-06-25, 星期日 ,31℃,25℃,小雨~多云,西北风 2级
176,2023-06-26, 星期一 ,34℃,25℃,中雨~多云,西风 2级
177,2023-06-27, 星期二 ,33℃,23℃,多云,西北风 2级
178,2023-06-28, 星期三 ,29℃,23℃,阴,西风 2级
179,2023-06-29, 星期四 ,34℃,23℃,多云,南风 2级
180,2023-06-30, 星期五 ,34℃,27℃,多云,南风 3级
181,2023-07-01, 星期六 ,33℃,25℃,中雨~多云,南风 2级
182,2023-07-02, 星期日 ,33℃,25℃,小雨~多云,西北风 1级
183,2023-07-03, 星期一 ,32℃,25℃,中雨~阴,东风 1级
184,2023-07-04, 星期二 ,30℃,25℃,中雨~多云,西北风 1级
185,2023-07-05, 星期三 ,33℃,25℃,多云,东南风 2级
186,2023-07-06, 星期四 ,34℃,26℃,多云,南风 2级
187,2023-07-07, 星期五 ,34℃,26℃,多云~晴,东风 3级
188,2023-07-08, 星期六 ,34℃,26℃,多云,东风 2级
189,2023-07-09, 星期日 ,34℃,25℃,多云,东南风 3级
190,2023-07-10, 星期一 ,36℃,26℃,多云,西南风 2级
191,2023-07-11, 星期二 ,35℃,26℃,多云~晴,南风 2级
192,2023-07-12, 星期三 ,36℃,27℃,多云~晴,南风 2级
193,2023-07-13, 星期四 ,35℃,25℃,多云,东南风 2级
194,2023-07-14, 星期五 ,37℃,27℃,多云~晴,西风 2级
195,2023-07-15, 星期六 ,37℃,25℃,阴~多云,西北风 1级
196,2023-07-16, 星期日 ,34℃,25℃,小雨~雷阵雨,东风 2级
197,2023-07-17, 星期一 ,29℃,25℃,中雨~阵雨,西风 3级
198,2023-07-18, 星期二 ,29℃,25℃,中雨~雷阵雨,东南风 1级
199,2023-07-19, 星期三 ,30℃,26℃,中雨~阴,东南风 1级
200,2023-07-20, 星期四 ,33℃,25℃,阴~多云,南风 1级
201,2023-07-21, 星期五 ,35℃,26℃,多云,南风 2级
202,2023-07-22, 星期六 ,34℃,25℃,阴~多云,南风 2级
203,2023-07-23, 星期日 ,35℃,26℃,阴~多云,南风 2级
204,2023-07-24, 星期一 ,35℃,26℃,多云,南风 2级
205,2023-07-25, 星期二 ,35℃,26℃,阴~多云,西北风 1级
206,2023-07-26, 星期三 ,36℃,27℃,阴~多云,东北风 1级
207,2023-07-27, 星期四 ,34℃,26℃,阴~多云,北风 1级
208,2023-07-28, 星期五 ,35℃,26℃,大雨~中雨,北风 1级
209,2023-07-29, 星期六 ,30℃,26℃,小雨~多云,南风 1级
210,2023-07-30, 星期日 ,32℃,26℃,阴~多云,东风 1级
211,2023-07-31, 星期一 ,35℃,25℃,阴~阵雨,东南风 1级
212,2023-08-01, 星期二 ,33℃,25℃,阴~多云,西南风 1级
213,2023-08-02, 星期三 ,35℃,25℃,雾~多云,西南风 1级
214,2023-08-03, 星期四 ,37℃,26℃,阴~多云,西南风 1级
215,2023-08-04, 星期五 ,36℃,27℃,阴~多云,西南风 2级
216,2023-08-05, 星期六 ,35℃,26℃,阴~多云,西南风 2级
217,2023-08-06, 星期日 ,35℃,27℃,阴~多云,西南风 2级
218,2023-08-07, 星期一 ,34℃,26℃,阴~多云,西南风 2级
219,2023-08-08, 星期二 ,35℃,27℃,阴~多云,西南风 2级
220,2023-08-09, 星期三 ,34℃,26℃,阴~阵雨,西南风 2级
221,2023-08-10, 星期四 ,30℃,24℃,小雨~大雨,南风 1级
222,2023-08-11, 星期五 ,30℃,24℃,阴~雷阵雨,西北风 1级
223,2023-08-12, 星期六 ,32℃,25℃,阴~多云,西南风 2级
224,2023-08-13, 星期日 ,32℃,25℃,阴~雷阵雨,南风 2级
225,2023-08-14, 星期一 ,33℃,25℃,阴~多云,西南风 2级
226,2023-08-15, 星期二 ,34℃,26℃,中雨~多云,西南风 2级
227,2023-08-16, 星期三 ,34℃,25℃,小雨~雷阵雨,西南风 2级
228,2023-08-17, 星期四 ,34℃,25℃,多云~雷阵雨,西南风 2级
229,2023-08-18, 星期五 ,34℃,25℃,阴~雷阵雨,西北风 1级
230,2023-08-19, 星期六 ,35℃,25℃,小雨~阵雨,东南风 1级
231,2023-08-20, 星期日 ,31℃,24℃,小雨~多云,南风 2级
232,2023-08-21, 星期一 ,32℃,25℃,小雨~多云,西南风 1级
233,2023-08-22, 星期二 ,34℃,25℃,阴~多云,西南风 1级
234,2023-08-23, 星期三 ,35℃,25℃,小雨~多云,南风 2级
235,2023-08-24, 星期四 ,33℃,25℃,阴~多云,南风 1级
236,2023-08-25, 星期五 ,35℃,24℃,多云,西南风 1级
237,2023-08-26, 星期六 ,31℃,23℃,阴,西风 2级
238,2023-08-27, 星期日 ,31℃,23℃,中雨到大雨,西北风 2级
239,2023-08-28, 星期一 ,26℃,20℃,阴,西风 1级
240,2023-08-29, 星期二 ,25℃,20℃,阴,西北风 1级
241,2023-08-30, 星期三 ,27℃,21℃,多云,北风 2级
242,2023-08-31, 星期四 ,28℃,21℃,阴,北风 3级
243,2023-09-01, 星期五 ,27℃,24℃,小雨~阵雨,北风 3级
244,2023-09-02, 星期六 ,31℃,25℃,小雨~阵雨,东北风 2级
245,2023-09-03, 星期日 ,33℃,26℃,阴~多云,东北风 2级
246,2023-09-04, 星期一 ,33℃,25℃,阴~多云,东北风 3级
247,2023-09-05, 星期二 ,28℃,23℃,小雨~阵雨,西北风 1级
248,2023-09-06, 星期三 ,28℃,24℃,中雨~阵雨,西北风 1级
249,2023-09-07, 星期四 ,25℃,24℃,暴雨~大雨,东风 2级
250,2023-09-08, 星期五 ,28℃,24℃,小雨~多云,东北风 1级
251,2023-09-09, 星期六 ,27℃,23℃,中雨~阵雨,东南风 1级
252,2023-09-10, 星期日 ,29℃,24℃,阴~阵雨,南风 1级
253,2023-09-11, 星期一 ,30℃,24℃,中雨~阵雨,南风 2级
254,2023-09-12, 星期二 ,30℃,24℃,小雨~多云,东南风 1级
255,2023-09-13, 星期三 ,32℃,24℃,中雨~阵雨,东南风 1级
256,2023-09-14, 星期四 ,30℃,23℃,中雨~阵雨,东北风 1级
257,2023-09-15, 星期五 ,28℃,23℃,暴雨~大雨,东北风 1级
258,2023-09-16, 星期六 ,31℃,24℃,小雨~多云,东南风 1级
259,2023-09-17, 星期日 ,34℃,24℃,阴~多云,西南风 1级
260,2023-09-18, 星期一 ,34℃,24℃,阴~多云,南风 1级
261,2023-09-19, 星期二 ,34℃,24℃,阴~多云,西南风 2级
262,2023-09-20, 星期三 ,34℃,25℃,多云,西南风 2级
263,2023-09-21, 星期四 ,35℃,25℃,多云~雷阵雨,西南风 1级
264,2023-09-22, 星期五 ,32℃,24℃,小雨~多云,西南风 微
265,2023-09-23, 星期六 ,34℃,24℃,阴~晴,东北风 1级
266,2023-09-24, 星期日 ,33℃,24℃,阴~多云,东北风 1级
267,2023-09-25, 星期一 ,34℃,24℃,阴~多云,东北风 1级
268,2023-09-26, 星期二 ,34℃,25℃,阴~晴,东北风 1级
269,2023-09-27, 星期三 ,34℃,24℃,阴~多云,东北风 1级
270,2023-09-28, 星期四 ,34℃,24℃,阴~多云,东北风 1级
271,2023-09-29, 星期五 ,34℃,25℃,阴~晴,东北风 1级
272,2023-09-30, 星期六 ,35℃,24℃,阴~多云,西北风 1级
273,2023-10-01, 星期日 ,35℃,24℃,阴~雷阵雨,北风 1级
274,2023-10-02, 星期一 ,31℃,24℃,中雨~多云,西北风 1级
275,2023-10-03, 星期二 ,34℃,24℃,阴~多云,西北风 1级
276,2023-10-04, 星期三 ,32℃,24℃,阴~多云,东北风 2级
277,2023-10-05, 星期四 ,28℃,22℃,阴~多云,东北风 3级
278,2023-10-06, 星期五 ,27℃,21℃,阴,东北风 3级
279,2023-10-07, 星期六 ,26℃,19℃,阵雨,北风 3级
280,2023-10-08, 星期日 ,21℃,20℃,小雨~阵雨,东北风 3级
281,2023-10-09, 星期一 ,22℃,20℃,小雨~阵雨,东北风 2级
282,2023-10-10, 星期二 ,22℃,19℃,阴,东北风 2级
283,2023-10-11, 星期三 ,22℃,20℃,多云~阴,东北风 2级
284,2023-10-12, 星期四 ,25℃,19℃,阴~多云,东北风 2级
285,2023-10-13, 星期五 ,26℃,19℃,多云,东北风 2级
286,2023-10-14, 星期六 ,29℃,18℃,多云,东北风 2级
287,2023-10-15, 星期日 ,28℃,18℃,多云,东北风 2级
288,2023-10-16, 星期一 ,29℃,18℃,多云,东北风 2级
289,2023-10-17, 星期二 ,28℃,20℃,小雨~多云,东北风 1级
290,2023-10-18, 星期三 ,27℃,20℃,小雨~阵雨,东北风 1级
291,2023-10-19, 星期四 ,24℃,20℃,小雨~中雨,东北风 1级
292,2023-10-20, 星期五 ,24℃,16℃,阴~阵雨,东北风 2级
293,2023-10-21, 星期六 ,19℃,16℃,阵雨~阴,北风 2级
294,2023-10-22, 星期日 ,21℃,18℃,阴~多云,北风 2级
295,2023-10-23, 星期一 ,25℃,18℃,阴~多云,西北风 1级
296,2023-10-24, 星期二 ,32℃,20℃,阴~多云,西北风 1级
297,2023-10-25, 星期三 ,33℃,21℃,阴~多云,西北风 1级
298,2023-10-26, 星期四 ,31℃,21℃,多云,南风 1级
299,2023-10-27, 星期五 ,19℃,-1℃,晴,东北风 2级
300,2023-10-28, 星期六 ,27℃,21℃,多云,北风 1级
301,2023-10-29, 星期日 ,24℃,20℃,晴,东南风 2级
302,2023-10-30, 星期一 ,28℃,18℃,阴,东南风 3级
303,2023-10-31, 星期二 ,28℃,16℃,晴,东南风 2级
304,2023-11-01, 星期三 ,30℃,18℃,多云~晴,西北风 1级
305,2023-11-02, 星期四 ,30℃,20℃,多云~晴,西南风 1级
306,2023-11-03, 星期五 ,30℃,20℃,多云,西南风 1级
307,2023-11-04, 星期六 ,31℃,20℃,雾~多云,西南风 1级
308,2023-11-05, 星期日 ,30℃,20℃,多云,西南风 2级
309,2023-11-06, 星期一 ,29℃,18℃,多云,东北风 3级
310,2023-11-07, 星期二 ,27℃,21℃,多云,西北风 1级
311,2023-11-08, 星期三 ,26℃,20℃,阴,西南风 1级
312,2023-11-09, 星期四 ,28℃,21℃,雾~多云,西南风 1级
313,2023-11-10, 星期五 ,30℃,19℃,阴,东北风 1级
314,2023-11-11, 星期六 ,21℃,16℃,小雨~阴,东北风 1级
315,2023-11-12, 星期日 ,20℃,14℃,阴,东北风 3级
316,2023-11-13, 星期一 ,16℃,12℃,阴,东北风 3级
317,2023-11-14, 星期二 ,18℃,12℃,阴~晴,东北风 2级
318,2023-11-15, 星期三 ,24℃,16℃,阴,北风 1级
319,2023-11-16, 星期四 ,17℃,10℃,阴~多云,东北风 4级
320,2023-11-17, 星期五 ,20℃,8℃,晴,东北风 3级
321,2023-11-18, 星期六 ,22℃,10℃,晴~多云,东北风 2级
322,2023-11-19, 星期日 ,22℃,11℃,多云~晴,西北风 1级
323,2023-11-20, 星期一 ,24℃,11℃,晴,西北风 1级
324,2023-11-21, 星期二 ,26℃,12℃,晴,西北风 1级
325,2023-11-22, 星期三 ,26℃,14℃,晴~多云,西南风 1级
326,2023-11-23, 星期四 ,27℃,14℃,晴,东北风 1级
327,2023-11-24, 星期五 ,26℃,12℃,晴,东北风 2级
328,2023-11-25, 星期六 ,24℃,13℃,晴,东北风 1级
329,2023-11-26, 星期日 ,25℃,12℃,晴,东北风 2级
330,2023-11-27, 星期一 ,25℃,12℃,雾~晴,东北风 2级
331,2023-11-28, 星期二 ,26℃,16℃,晴~多云,北风 1级
332,2023-11-29, 星期三 ,24℃,16℃,阴,东北风 1级
333,2023-11-30, 星期四 ,21℃,13℃,阴~多云,东北风 3级
334,2023-12-01, 星期五 ,16℃,11℃,阴~多云,东北风 3级
335,2023-12-02, 星期六 ,20℃,13℃,阴~多云,东北风 1级
336,2023-12-03, 星期日 ,19℃,12℃,阴,北风 2级
337,2023-12-04, 星期一 ,17℃,12℃,阴~多云,北风 2级
338,2023-12-05, 星期二 ,21℃,13℃,多云~阴,北风 2级
339,2023-12-06, 星期三 ,19℃,11℃,小雨~多云,东北风 2级
340,2023-12-07, 星期四 ,24℃,11℃,晴~多云,东北风 2级
341,2023-12-08, 星期五 ,25℃,12℃,晴~多云,西南风 1级
342,2023-12-09, 星期六 ,26℃,16℃,阴~多云,西南风 1级
343,2023-12-10, 星期日 ,30℃,19℃,多云,西南风 2级
344,2023-12-11, 星期一 ,29℃,17℃,阴~多云,西南风 1级
345,2023-12-12, 星期二 ,21℃,14℃,阴~多云,东北风 2级
346,2023-12-13, 星期三 ,20℃,15℃,阴~多云,西南风 1级
347,2023-12-14, 星期四 ,24℃,18℃,多云,西南风 1级
348,2023-12-15, 星期五 ,29℃,8℃,雾~小雨,西南风 1级
349,2023-12-16, 星期六 ,10℃,5℃,多云~小雨,东北风 3级
350,2023-12-17, 星期日 ,10℃,3℃,雨夹雪~阴,东北风 2级
351,2023-12-18, 星期一 ,15℃,6℃,阴~多云,西北风 2级
352,2023-12-19, 星期二 ,9℃,5℃,小雨~多云,北风 3级
353,2023-12-20, 星期三 ,9℃,3℃,多云,东北风 3级
354,2023-12-21, 星期四 ,6℃,2℃,阴~多云,东北风 4级
355,2023-12-22, 星期五 ,10℃,1℃,多云,东北风 3级
356,2023-12-23, 星期六 ,7℃,2℃,小雨~多云,北风 2级
357,2023-12-24, 星期日 ,15℃,3℃,晴~多云,东北风 3级
358,2023-12-25, 星期一 ,17℃,3℃,晴,东北风 2级
359,2023-12-26, 星期二 ,20℃,7℃,晴~多云,西北风 1级
360,2023-12-27, 星期三 ,23℃,10℃,晴~多云,北风 1级
361,2023-12-28, 星期四 ,24℃,11℃,阴~晴,北风 1级
362,2023-12-29, 星期五 ,25℃,12℃,阴~多云,西北风 1级
363,2023-12-30, 星期六 ,21℃,14℃,阴~多云,西北风 1级
364,2023-12-31, 星期日 ,25℃,13℃,多云,东北风 2级
